source,target,weight
7,16,3
7,15,1
7,18,1
7,51,1
16,7,3
16,18,3
16,35,2
16,5,2
62,15,1
62,27,1
51,61,1
19,26,1
19,17,1
19,28,1
19,22,2
19,6,2
19,23,2
19,5,1
19,24,3
19,59,2
19,30,3
19,29,3
19,35,3
47,46,2
47,48,2
47,36,2
47,31,2
58,54,1
59,23,2
59,27,2
59,30,2
59,19,2
59,29,3
22,17,3
22,28,3
22,14,1
22,55,3
22,24,2
22,19,2
22,13,3
40,4,1
40,42,1
18,12,3
18,7,1
18,16,2
18,39,1
45,51,2
45,18,1
60,5,2
15,62,1
15,7,1
15,38,1
15,24,3
36,31,3
36,5,1
36,48,2
36,47,2
53,33,1
33,2,1
33,53,1
6,5,2
6,52,2
6,19,1
6,24,2
42,40,1
42,4,1
35,2,1
35,16,2
35,19,2
35,23,2
35,26,3
35,27,3
35,29,2
35,30,3
35,31,1
35,34,2
39,18,2
27,1,3
27,5,2
27,24,2
27,26,3
27,29,3
27,30,2
27,35,3
27,59,2
27,62,1
27,17,1
44,37,3
44,54,1
44,38,1
25,24,1
54,38,1
54,44,1
54,58,1
54,37,1
5,4,2
5,6,3
5,8,1
5,16,2
5,19,1
5,24,3
5,26,2
5,27,2
5,30,1
5,36,1
5,60,3
12,18,3
12,16,1
12,5,1
37,18,1
37,24,1
37,34,1
37,38,1
37,44,3
37,54,2
57,14,1
17,22,2
17,13,2
17,24,1
17,27,1
17,19,1
46,7,1
46,47,3
46,48,3
46,62,1
4,5,2
28,55,3
28,56,1
31,36,3
31,23,2
31,59,1
31,47,1
48,46,2
48,47,2
48,36,1
13,17,2
13,22,3
26,27,3
26,29,3
26,35,3
26,4,1
26,19,1
26,30,2
8,5,2
8,18,2
8,50,1
