source,target
7,18
7,14
7,41
7,12
16,4
16,30
16,14
16,39
45,2
45,39
45,13
45,47
62,28
62,9
62,63
62,27
6,30
6,22
6,52
6,37
51,58
51,6
51,41
51,47
19,61
19,25
19,17
19,49
33,42
33,6
33,18
33,16
52,38
52,8
52,10
52,62
47,25
47,63
47,50
47,2
63,16
63,31
63,35
63,49
12,60
12,31
12,46
12,19
58,47
58,2
58,9
58,10
59,26
59,21
59,17
59,2
35,3
35,31
35,44
35,8
22,5
22,36
22,41
22,17
40,55
40,26
40,48
40,47
18,9
18,2
18,56
18,5
39,28
39,3
39,24
39,56
49,8
49,59
49,11
49,51
60,32
60,27
60,30
60,14
42,62
42,40
42,17
42,6
15,42
15,48
15,49
15,2
57,8
57,42
57,56
48,2
48,24
48,32
48,51
41,25
41,53
41,29
41,60
36,33
36,61
36,18
36,24
53,14
53,25
53,7
53,30
56,52
56,62
56,39
56,42
14,17
14,52
14,33
14,2
21,49
21,61
21,11
21,47
27,12
27,38
27,55
27,40
25,15
25,23
25,55
25,5
54,24
54,18
54,51
54,55
11,46
11,37
11,18
11,53
17,14
17,32
17,61
17,57
37,61
37,5
37,11
37,42
10,6
10,18
10,34
10,60
46,39
46,7
46,58
46,29
4,33
4,25
4,62
4,18
34,45
34,5
34,55
34,49
28,56
28,12
28,29
28,53
31,9
31,10
31,25
31,15
13,33
13,50
13,7
13,6
26,6
26,12
26,4
26,7
8,6
8,19
8,51
8,17
